"DIS","EFO","genes","count","AUC"
"dis.0","EFO_0000768","ENSG00000179387;ENSG00000136960;ENSG00000049323;ENSG00000086991;ENSG00000078902","0","0"
"dis.0","EFO_0004270","ENSG00000066427;ENSG00000167968;ENSG00000184845;ENSG00000149295;ENSG00000151577;ENSG00000069696;ENSG00000169676;ENSG00000181867;ENSG00000266964;ENSG00000109158;ENSG00000178295;ENSG00000161610;ENSG00000136381;ENSG00000167216;ENSG00000155729;ENSG00000162959;ENSG00000196531;ENSG00000255408;ENSG00000149923;ENSG00000188779;ENSG00000142319;ENSG00000185739;ENSG00000073282;ENSG00000182400","0","0"
"dis.0","EFO_0004276","ENSG00000138109;ENSG00000117560;ENSG00000115523;ENSG00000206337;ENSG00000204525;ENSG00000142798;ENSG00000257704;ENSG00000186442;ENSG00000144802;ENSG00000180525;ENSG00000050628;ENSG00000149256","0","0"
"dis.0","EFO_0003767","ENSG00000144648;ENSG00000018510;ENSG00000106546;ENSG00000163631;ENSG00000111676;ENSG00000075673;ENSG00000105675;ENSG00000137752;ENSG00000172156;ENSG00000131142;ENSG00000213927;ENSG00000275302;ENSG00000271503;ENSG00000173585;ENSG00000158473;ENSG00000102245;ENSG00000110848;ENSG00000121594;ENSG00000114013;ENSG00000165376;ENSG00000165215;ENSG00000189143;ENSG00000118432;ENSG00000164400;ENSG00000108342;ENSG00000163599;ENSG00000168329;ENSG00000163739;ENSG00000169245;ENSG00000169429;ENSG00000138755;ENSG00000186810;ENSG00000183258;ENSG00000164825;ENSG00000171711;ENSG00000140279;ENSG00000197561;ENSG00000164307;ENSG00000158769;ENSG00000126262;ENSG00000140285;ENSG00000049768;ENSG00000107485;ENSG00000176153;ENSG00000257017;ENSG00000090339;ENSG00000017427;ENSG00000104365;ENSG00000110324;ENSG00000243646;ENSG00000095752;ENSG00000169194;ENSG00000164136;ENSG00000112115;ENSG00000112116;ENSG00000150782;ENSG00000115008;ENSG00000125538;ENSG00000115594;ENSG00000136689;ENSG00000109471;ENSG00000138684;ENSG00000127318;ENSG00000110944;ENSG00000137033;ENSG00000125571;ENSG00000113520;ENSG00000113525;ENSG00000136244;ENSG00000104432;ENSG00000145839;ENSG00000083457;ENSG00000169896;ENSG00000140678;ENSG00000125877;ENSG00000177606;ENSG00000132434;ENSG00000148346;ENSG00000258609;ENSG00000099866;ENSG00000112062;ENSG00000102882;ENSG00000107643;ENSG00000103313;ENSG00000240972;ENSG00000149968;ENSG00000100985;ENSG00000170262;ENSG00000103707;ENSG00000172936;ENSG00000065534;ENSG00000101158;ENSG00000109320;ENSG00000100906;ENSG00000162711;ENSG00000007171;ENSG00000007952;ENSG00000214285;ENSG00000012504;ENSG00000144852;ENSG00000197822;ENSG00000172057;ENSG00000215021;ENSG00000115138;ENSG00000132170;ENSG00000196415;ENSG00000172016;ENSG00000134193;ENSG00000163221;ENSG00000007908;ENSG00000188404;ENSG00000174175;ENSG00000197249;ENSG00000117601;ENSG00000088386;ENSG00000066230;ENSG00000184557;ENSG00000115415;ENSG00000166888;ENSG00000006128;ENSG00000115353;ENSG00000073861;ENSG00000160181;ENSG00000160180;ENSG00000102265;ENSG00000104067;ENSG00000174125;ENSG00000174123;ENSG00000137462;ENSG00000164342;ENSG00000136869;ENSG00000187554;ENSG00000174130;ENSG00000196664;ENSG00000101916;ENSG00000239732;ENSG00000232810;ENSG00000067182;ENSG00000215788;ENSG00000137364;ENSG00000124731;ENSG00000104321;ENSG00000145777;ENSG00000162692;ENSG00000111424;ENSG00000146469;ENSG00000100219","0","0"
"dis.0","EFO_0003829","ENSG00000187758;ENSG00000172955;ENSG00000196344;ENSG00000163631;ENSG00000165092;ENSG00000137124;ENSG00000143149;ENSG00000170209;ENSG00000158321;ENSG00000101200;ENSG00000176697;ENSG00000060339;ENSG00000187094;ENSG00000181072;ENSG00000080644;ENSG00000169684;ENSG00000147432;ENSG00000117971;ENSG00000166250;ENSG00000118432;ENSG00000093010;ENSG00000144410;ENSG00000118260;ENSG00000147571;ENSG00000145708;ENSG00000120088;ENSG00000130649;ENSG00000184845;ENSG00000149295;ENSG00000151577;ENSG00000069696;ENSG00000169676;ENSG00000100393;ENSG00000022355;ENSG00000151834;ENSG00000145863;ENSG00000163288;ENSG00000145864;ENSG00000113327;ENSG00000182256;ENSG00000183185;ENSG00000106105;ENSG00000100031;ENSG00000286070;ENSG00000133475;ENSG00000274252;ENSG00000157017;ENSG00000145888;ENSG00000101958;ENSG00000145451;ENSG00000188828;ENSG00000109738;ENSG00000167701;ENSG00000163873;ENSG00000183454;ENSG00000273079;ENSG00000168959;ENSG00000196277;ENSG00000179603;ENSG00000103942;ENSG00000178394;ENSG00000135312;ENSG00000102468;ENSG00000147246;ENSG00000166736;ENSG00000149305;ENSG00000148680;ENSG00000162728;ENSG00000235750;ENSG00000072201;ENSG00000189221;ENSG00000069535;ENSG00000107186;ENSG00000085760;ENSG00000084628;ENSG00000214285;ENSG00000122585;ENSG00000116329;ENSG00000082556;ENSG00000125510;ENSG00000112038;ENSG00000176798;ENSG00000101327;ENSG00000118482;ENSG00000168081;ENSG00000115138;ENSG00000162148;ENSG00000172179;ENSG00000115310;ENSG00000231274;ENSG00000118473;ENSG00000110436;ENSG00000076351;ENSG00000142319;ENSG00000108576;ENSG00000128519;ENSG00000070759;ENSG00000239697;ENSG00000129167;ENSG00000139287;ENSG00000112290;ENSG00000158195","0","0"
"dis.0","EFO_0003768","ENSG00000198074;ENSG00000170209;ENSG00000054793;ENSG00000266074;ENSG00000060339;ENSG00000138435;ENSG00000129749;ENSG00000120903;ENSG00000169684;ENSG00000147434;ENSG00000175344;ENSG00000174343;ENSG00000170175;ENSG00000160716;ENSG00000117971;ENSG00000135902;ENSG00000196811;ENSG00000261210;ENSG00000118432;ENSG00000093010;ENSG00000120088;ENSG00000255974;ENSG00000197408;ENSG00000100612;ENSG00000184845;ENSG00000149295;ENSG00000151577;ENSG00000069696;ENSG00000169676;ENSG00000151474;ENSG00000160282;ENSG00000136928;ENSG00000151834;ENSG00000109158;ENSG00000183185;ENSG00000198785;ENSG00000149305;ENSG00000089289;ENSG00000236790;ENSG00000175611;ENSG00000265843;ENSG00000150556;ENSG00000189221;ENSG00000165055;ENSG00000120662;ENSG00000185737;ENSG00000179915;ENSG00000021645;ENSG00000112038;ENSG00000160214;ENSG00000142319;ENSG00000108576;ENSG00000128519;ENSG00000257138;ENSG00000149292;ENSG00000112290;ENSG00000158195;ENSG00000132970","0","0"
"dis.0","EFO_0001054","ENSG00000163631;ENSG00000168062;ENSG00000036828;ENSG00000151773;ENSG00000158485;ENSG00000158481;ENSG00000158473;ENSG00000158488;ENSG00000090659;ENSG00000135373;ENSG00000196666;ENSG00000049768;ENSG00000115523;ENSG00000206503;ENSG00000196735;ENSG00000144381;ENSG00000115541;ENSG00000111537;ENSG00000136634;ENSG00000081985;ENSG00000112115;ENSG00000109471;ENSG00000239998;ENSG00000188906;ENSG00000141644;ENSG00000110917;ENSG00000130382;ENSG00000101158;ENSG00000167207;ENSG00000112530;ENSG00000107593;ENSG00000118508;ENSG00000204370;ENSG00000018280;ENSG00000174125;ENSG00000137462;ENSG00000232810;ENSG00000215788","0","0"
"dis.0","EFO_0001663","ENSG00000087502","0","0"
"dis.0","EFO_0000095","ENSG00000168594;ENSG00000134061;ENSG00000257127;ENSG00000186047;ENSG00000184545;ENSG00000132704;ENSG00000143297;ENSG00000132185;ENSG00000122176;ENSG00000180353;ENSG00000005700;ENSG00000146232;ENSG00000157593;ENSG00000123178;ENSG00000115085","0","0"
"dis.0","EFO_0001060","ENSG00000164113;ENSG00000187094;ENSG00000173762;ENSG00000139610;ENSG00000219073;ENSG00000165376;ENSG00000145384;ENSG00000224157;ENSG00000237541;ENSG00000257017;ENSG00000164136;ENSG00000112115;ENSG00000083457;ENSG00000002549;ENSG00000100097;ENSG00000258710;ENSG00000204520;ENSG00000099331;ENSG00000161653;ENSG00000085377;ENSG00000010438;ENSG00000151967;ENSG00000070031;ENSG00000042832;ENSG00000198959;ENSG00000125780;ENSG00000166948;ENSG00000116001;ENSG00000104067;ENSG00000136827;ENSG00000115705","0","0"
